Lens ID,Title,Date Published,Publication Year,Publication Type,Source Title,ISSNs,Publisher,Source Country,Author/s,Abstract,Volume,Issue Number,Start Page,End Page,Fields of Study,Keywords,MeSH Terms,Chemicals,Funding,Source URLs,External URL,PMID,DOI,Microsoft Academic ID,PMCID,Citing Patents Count,References,Citing Works Count,Is Open Access,Open Access License,Open Access Colour
072-855-508-864-439,Modeling of Biological Intelligence for SCM System Optimization,2011-11-24,2011,journal article,Computational and mathematical methods in medicine,17486718; 1748670x,Wiley,Egypt,Shengyong Chen; Yu-Jun Zheng; Carlo Cattani; Wanliang Wang,"This article summarizes some methods from biological intelligence for modeling and optimization of supply chain management (SCM) systems, including genetic algorithms, evolutionary programming, differential evolution, swarm intelligence, artificial immune, and other biological intelligence related methods. An SCM system is adaptive, dynamic, open self-organizing, which is maintained by flows of information, materials, goods, funds, and energy. Traditional methods for modeling and optimizing complex SCM systems require huge amounts of computing resources, and biological intelligence-based solutions can often provide valuable alternatives for efficiently solving problems. The paper summarizes the recent related methods for the design and optimization of SCM systems, which covers the most widely used genetic algorithms and other evolutionary algorithms.",2012,2012,769702,769702,Swarm intelligence; Machine learning; Evolutionary programming; Industrial engineering; Computational intelligence; Artificial intelligence; Evolutionary algorithm; System optimization; Biological evolution; Computer science; Supply chain management; Differential evolution,,"Algorithms; Animals; Ants; Biological Evolution; Intelligence; Models, Biological",,National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; National Natural Science Foundation of China; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial S&T Department; Zhejiang Provincial Natural Science Foundation; Zhejiang Provincial Natural Science Foundation; Zhejiang Provincial Natural Science Foundation; Zhejiang Provincial Natural Science Foundation; Zhejiang Provincial Natural Science Foundation; Zhejiang Provincial Natural Science Foundation; Zhejiang Provincial Natural Science Foundation,https://doaj.org/article/28edab5aa9f14ea98a9cf713e3f0984c http://downloads.hindawi.com/journals/cmmm/2012/769702.pdf https://doi.org/10.1155/2012/769702 https://dblp.uni-trier.de/db/journals/cmmm/cmmm2012.html#ChenZCW12 https://downloads.hindawi.com/journals/cmmm/2012/769702.pdf https://www.ncbi.nlm.nih.gov/pubmed/22162724 https://www.hindawi.com/journals/cmmm/2012/769702/ http://europepmc.org/articles/PMC3227372 https://paperity.org/p/130590706/modeling-of-biological-intelligence-for-scm-system-optimization,http://dx.doi.org/10.1155/2012/769702,22162724,10.1155/2012/769702,2023452507,PMC3227372,0,001-288-361-420-230; 001-622-022-509-653; 002-221-484-960-552; 002-736-788-994-236; 003-296-216-380-669; 006-351-569-899-43X; 008-974-523-336-854; 009-544-226-754-028; 011-081-753-772-977; 011-246-616-142-373; 011-496-413-946-875; 013-737-030-726-231; 014-404-264-178-742; 014-623-719-575-454; 015-249-911-541-405; 015-377-376-101-083; 015-749-131-181-817; 016-801-234-983-89X; 017-566-549-972-430; 020-047-711-225-008; 021-791-776-594-244; 022-297-437-479-658; 025-720-764-823-57X; 027-768-027-905-765; 029-204-850-057-01X; 031-916-033-080-890; 034-120-563-294-752; 036-547-044-191-052; 038-954-257-874-19X; 040-418-183-711-453; 040-850-797-553-333; 041-396-493-669-387; 044-275-668-604-71X; 044-553-779-780-035; 044-818-815-655-647; 045-336-941-449-531; 045-620-417-254-066; 047-276-448-549-302; 047-455-286-691-755; 048-567-429-522-311; 053-584-055-532-771; 056-719-362-446-704; 057-180-826-857-203; 060-931-084-444-014; 062-629-108-214-324; 064-098-628-257-638; 064-130-097-028-189; 064-870-503-472-677; 065-093-267-955-96X; 067-544-217-033-089; 069-288-128-604-751; 069-498-894-454-241; 070-253-976-496-269; 070-585-293-392-250; 070-597-918-203-658; 071-927-170-614-072; 074-906-293-717-465; 075-935-747-776-304; 077-901-275-465-600; 078-558-660-761-319; 085-978-359-923-061; 087-198-716-745-87X; 088-769-881-153-248; 089-766-744-568-714; 090-023-105-867-433; 090-536-664-070-854; 092-456-711-653-837; 094-711-074-843-715; 095-284-021-144-26X; 095-759-166-492-878; 096-429-405-276-166; 098-913-349-914-430; 099-692-785-244-752; 100-364-390-691-882; 101-251-677-285-975; 110-091-695-170-940; 111-009-947-835-031; 112-046-580-083-599; 112-057-144-904-913; 116-344-720-615-341; 119-840-422-000-789; 120-092-556-775-330; 126-226-501-893-945; 127-817-785-699-108; 131-738-165-598-25X; 146-565-532-950-895; 146-576-137-480-831; 156-281-169-085-806; 161-005-867-554-542; 167-377-408-154-959; 169-185-503-662-579; 169-500-211-878-316; 170-807-496-863-899; 177-592-614-311-067; 192-551-107-549-559,50,true,cc-by,gold
098-082-476-528-589,QAmplifyNet: Pushing the Boundaries of SupplyChain Backorder Prediction Using InterpretableHybrid Quantum–Classical Neural Network,2023-07-27,2023,preprint,,,Research Square Platform LLC,,Md Abrar Jahin; Md Sakib Hossain Shovon; Md. Saiful Islam; Jungpil Shin; M. F. Mridha; Yuichi Okuyama,"<title>Abstract</title>;         <p>Supply chain management relies on accurate backorder prediction for optimizing inventory control, reducing costs, andenhancing customer satisfaction. Traditional machine-learning models struggle with large-scale datasets and complexrelationships. This research introduces a novel methodological framework for supply chain backorder prediction, addressingthe challenge of collecting large real-world datasets. Our proposed model demonstrates remarkable accuracy in predictingbackorders on short and imbalanced datasets. We capture intricate patterns and dependencies by leveraging quantum-inspiredtechniques within the quantum-classical neural network QAmplifyNet. Experimental evaluations on a benchmark datasetestablish QAmplifyNet’s superiority over eight classical models, three classically stacked quantum ensembles, five quantumneural networks, and a deep reinforcement learning model. Its ability to handle short, imbalanced datasets makes it ideal forsupply chain management. We evaluate seven preprocessing techniques, selecting the best one based on Logistic Regression’sperformance on each preprocessed dataset. The model’s interpretability is enhanced using Explainable Artificial Intelligencetechniques. Practical implications include improved inventory control, reduced backorders, and enhanced operational efficiency. QAmplifyNet seamlessly integrates into real-world supply chain management systems, empowering proactive decision-makingand efficient resource allocation. Future work involves exploring additional quantum-inspired techniques, expanding thedataset, and investigating other supply chain applications. This research unlocks the potential of quantum computing insupply chain optimization and paves the way for further exploration of quantum-inspired machine learning models in supplychain management. Our framework and QAmplifyNet model offer a breakthrough approach to supply chain backorderprediction, offering superior performance and opening new avenues for leveraging quantum-inspired techniques in supply chain management.</p>",,,,,Computer science; Interpretability; Supply chain; Benchmark (surveying); Artificial intelligence; Reinforcement learning; Artificial neural network; Supply chain management; Quantum; Machine learning; Geodesy; Political science; Physics; Law; Geography; Quantum mechanics,,,,,https://www.researchsquare.com/article/rs-3184148/latest.pdf http://dx.doi.org/10.21203/rs.3.rs-3184148/v1,http://dx.doi.org/10.21203/rs.3.rs-3184148/v1,,10.21203/rs.3.rs-3184148/v1,,,0,,1,true,cc-by,green
132-983-451-292-839,QAmplifyNet: Pushing the Boundaries of Supply Chain Backorder Prediction Using Interpretable Hybrid Quantum-Classical Neural Network,2023-07-24,2023,preprint,arXiv (Cornell University),,,,Md Abrar Jahin; Md Sakib Hossain Shovon; Md. Saiful Islam; Jungpil Shin; M. F. Mridha; Yuichi Okuyama,"Supply chain management relies on accurate backorder prediction for optimizing inventory control, reducing costs, and enhancing customer satisfaction. However, traditional machine-learning models struggle with large-scale datasets and complex relationships, hindering real-world data collection. This research introduces a novel methodological framework for supply chain backorder prediction, addressing the challenge of handling large datasets. Our proposed model, QAmplifyNet, employs quantum-inspired techniques within a quantum-classical neural network to predict backorders effectively on short and imbalanced datasets. Experimental evaluations on a benchmark dataset demonstrate QAmplifyNet's superiority over classical models, quantum ensembles, quantum neural networks, and deep reinforcement learning. Its proficiency in handling short, imbalanced datasets makes it an ideal solution for supply chain management. To enhance model interpretability, we use Explainable Artificial Intelligence techniques. Practical implications include improved inventory control, reduced backorders, and enhanced operational efficiency. QAmplifyNet seamlessly integrates into real-world supply chain management systems, enabling proactive decision-making and efficient resource allocation. Future work involves exploring additional quantum-inspired techniques, expanding the dataset, and investigating other supply chain applications. This research unlocks the potential of quantum computing in supply chain optimization and paves the way for further exploration of quantum-inspired machine learning models in supply chain management. Our framework and QAmplifyNet model offer a breakthrough approach to supply chain backorder prediction, providing superior performance and opening new avenues for leveraging quantum-inspired techniques in supply chain management.",,,,,Interpretability; Computer science; Supply chain; Artificial neural network; Benchmark (surveying); Supply chain management; Artificial intelligence; Quantum; Machine learning; Law; Physics; Geodesy; Geography; Political science; Quantum mechanics,,,,,https://arxiv.org/abs/2307.12906,http://dx.doi.org/10.48550/arxiv.2307.12906,,10.48550/arxiv.2307.12906,,,0,,0,true,cc-by,green
134-203-390-704-571,QAmplifyNet: pushing the boundaries of supply chain backorder prediction using interpretable hybrid quantum-classical neural network.,2023-10-25,2023,journal article,Scientific reports,20452322,Springer Science and Business Media LLC,United Kingdom,Md Abrar Jahin; Md Sakib Hossain Shovon; Md Saiful Islam; Jungpil Shin; M F Mridha; Yuichi Okuyama,"Supply chain management relies on accurate backorder prediction for optimizing inventory control, reducing costs, and enhancing customer satisfaction. Traditional machine-learning models struggle with large-scale datasets and complex relationships. This research introduces a novel methodological framework for supply chain backorder prediction, addressing the challenge of collecting large real-world datasets with 90% accuracy. Our proposed model demonstrates remarkable accuracy in predicting backorders on short and imbalanced datasets. We capture intricate patterns and dependencies by leveraging quantum-inspired techniques within the quantum-classical neural network QAmplifyNet. Experimental evaluations on a benchmark dataset establish QAmplifyNet's superiority over eight classical models, three classically stacked quantum ensembles, five quantum neural networks, and a deep reinforcement learning model. Its ability to handle short, imbalanced datasets makes it ideal for supply chain management. We evaluate seven preprocessing techniques, selecting the best one based on logistic regression's performance on each preprocessed dataset. The model's interpretability is enhanced using Explainable artificial intelligence techniques. Practical implications include improved inventory control, reduced backorders, and enhanced operational efficiency. QAmplifyNet also achieved the highest F1-score of 94% for predicting ""Not Backorder"" and 75% for predicting ""backorder,"" outperforming all other models. It also exhibited the highest AUC-ROC score of 79.85%, further validating its superior predictive capabilities. QAmplifyNet seamlessly integrates into real-world supply chain management systems, empowering proactive decision-making and efficient resource allocation. Future work involves exploring additional quantum-inspired techniques, expanding the dataset, and investigating other supply chain applications. This research unlocks the potential of quantum computing in supply chain optimization and paves the way for further exploration of quantum-inspired machine learning models in supply chain management. Our framework and QAmplifyNet model offer a breakthrough approach to supply chain backorder prediction, offering superior performance and opening new avenues for leveraging quantum-inspired techniques in supply chain management.",13,1,18246,18246,Interpretability; Computer science; Supply chain; Artificial neural network; Benchmark (surveying); Artificial intelligence; Machine learning; Data mining; Law; Political science; Geography; Geodesy,Engineering; Mathematics and computing,,,,https://www.nature.com/articles/s41598-023-45406-7.pdf https://doi.org/10.1038/s41598-023-45406-7 https://pmc.ncbi.nlm.nih.gov/articles/PMC10600161/pdf/41598_2023_Article_45406.pdf https://www.ncbi.nlm.nih.gov/pmc/articles/10600161,http://dx.doi.org/10.1038/s41598-023-45406-7,37880386,10.1038/s41598-023-45406-7,,PMC10600161,0,002-018-348-707-997; 002-086-594-987-490; 004-246-118-085-51X; 005-897-273-794-880; 007-587-447-821-228; 008-928-979-228-782; 009-870-933-968-467; 012-065-150-005-206; 013-231-635-980-162; 014-082-107-904-334; 014-520-767-877-391; 015-579-750-418-298; 017-929-057-292-981; 025-916-718-275-458; 026-638-864-832-151; 029-706-906-093-942; 029-803-646-760-538; 030-589-504-330-533; 032-879-282-531-038; 037-036-633-916-412; 038-224-180-823-970; 048-458-420-759-977; 050-254-268-053-140; 055-999-087-584-434; 062-991-804-341-046; 066-129-271-213-035; 071-645-090-606-35X; 073-327-254-944-566; 079-452-557-990-843; 079-563-671-471-846; 081-238-786-593-918; 089-684-083-469-583; 095-024-338-859-297; 097-320-410-698-846; 097-548-300-492-354; 100-248-510-663-352; 105-963-593-136-99X; 106-944-685-498-501; 112-607-213-452-919; 119-924-958-013-914; 120-409-132-365-453; 127-992-632-103-359; 138-876-057-304-445; 158-921-799-770-037; 160-208-842-957-138; 189-071-951-639-700,31,true,"CC BY, CC BY-NC-ND",gold
